Package ID,Gluten Content (%),Dough Elasticity Index,Dampening Time (hours),Package Weight (g),Ash content (%),Production Recipe,Moisture (%),Starch Content (%),Production Mill,Package Volume (cm3),Proteins (g)/100g,Color,Quality,
100124,11.3,48.526,23,794.309,1.72,3,14.09,55.83,Happy Blackberry Windmill,1000.77622,11.23,3,Average,
100492,8.83,51.459,23,789.738,1.66,4,14.5,59.34,Happy Blackberry Windmill,1001.73926,8.71,3,Average,
100999,10.28,38.427,55,792.543,1.75,3,14.66,55.89,Happy Blackberry Windmill,1000.789994,10.35,2,Average,
101025,11.59,31.055,46,806.165,1.85,2,14.44,53.68,Happy Blackberry Windmill,1000.057313,10.87,3,Low,
101459,9.7,42.874,26,803.91,1.76,4,14.22,57.25,Happy Blackberry Windmill,1001.671098,9.79,3,Average,
101459,9.7,42.874,26,803.91,1.76,4,14.22,57.25,Happy Blackberry Windmill,1001.671098,9.79,3,Average,
101888,9.7,56.049,24,794.218,1.62,3,14.22,57.95,Happy Blackberry Windmill,1000.661529,9.1,5,Average,
102428,10.79,451.71,42,799.006,1.71,5,14.83,56.23,Happy Blackberry Windmill,1002.210641,10.64,2,Average,
104070,11.01,52.31,59,803.682,1.74,3,14.72,55.10,Happy Blackberry Windmill,1001.387305,11.15,2,Average,
104725,10.72,25.237,57,802.008,1.83,1,14.2,55.77,Happy Blackberry Windmill,999.3018208,10.44,2,Low,
105234,10.06,50.952,48,802.276,1.62,3,14.77,58.30,Happy Blackberry Windmill,999.6354177,10.25,1,Average,
106567,9.33,48.093,57,801.437,1.93,3,14.28,59.06,Happy Blackberry Windmill,1000.802986,9.45,2,Low,
107036,11.73,30.916,56,801.992,1.85,3,14.3,53.26,Happy Blackberry Windmill,1001.496586,12.22,2,Low,
108459,10.86,42.862,54,790.351,1.72,4,14.22,55.27,Happy Blackberry Windmill,999.141619,10.53,2,Average,
108962,11.3,37.7,39,794.506,1.66,1,14.15,53.38,Happy Blackberry Windmill,999.90641,11.71,3,Average,
109860,10.35,41.821,55,804.581,1.75,2,14.81,57.25,Happy Blackberry Windmill,1000.295027,9.96,2,Low,
109982,10.5,44.871,45,805.045,1.68,4,14.39,55.80,Happy Blackberry Windmill,998.6670249,10.96,2,Average,
109982,10.5,44.871,45,805.045,1.68,4,14.39,55.80,Happy Blackberry Windmill,998.6670249,10.96,2,Average,
110551,8.83,46.11,27,803.327,1.75,3,14.06,61.18,Happy Blackberry Windmill,999.8394008,8.76,3,Average,
111390,11.08,43.785,72,799.086,1.7,2,14.37,54.30,Happy Blackberry Windmill,1001.197314,11.02,1,Average,
112460,9.92,45.528,41,792.715,1.59,3,15.31,56.17,Happy Blackberry Windmill,999.8868098,10.41,2,Average,
112902,11.01,34.076,38,800.696,1.8,3,14.59,56.31,Happy Blackberry Windmill,998.7706728,10.98,2,Low,
113077,11.59,27.834,56,808.111,1.73,4,14.13,54.68,Happy Blackberry Windmill,999.1700775,11.63,2,Average,
114058,10.57,53.213,61,804.633,1.75,3,14.13,56.30,Happy Blackberry Windmill,1002.572427,9.9,2,Average,
116299,12.68,24.964,58,801.337,1.72,1,14.5,51.76,Happy Blackberry Windmill,1000.6788,12.09,2,Low,
116436,12.82,19.731,47,796.307,1.71,1,14.28,52.58,Happy Blackberry Windmill,999.9392837,12.93,2,Low,
116462,9.92,58.03,59,791.245,1.68,2,14.17,58.13,Happy Blackberry Windmill,998.0316307,10.54,2,Average,
116784,9.33,52.813,50,801.467,1.65,1,14.17,59.48,Happy Blackberry Windmill,999.73302,10.12,3,Average,
116890,10.28,49.122,15,799.393,1.75,2,14.02,56.42,Happy Blackberry Windmill,1000.468774,10.3,4,Average,
117414,10.57,48.21,45,798.311,1.75,3,14.39,54.94,Happy Blackberry Windmill,1000.22594,10.36,3,Average,
117793,10.28,47.471,43,802.378,1.79,5,14.17,56.67,Happy Blackberry Windmill,999.7619948,10.35,2,Low,
117974,9.26,43.358,-6,799.889,1.72,1,14.41,56.89,Happy Blackberry Windmill,999.978635,10,6,Average,
119929,12.53,23.391,53,799.001,1.89,5,14.33,53.31,Happy Blackberry Windmill,999.9783138,11.79,2,Low,
120104,10.13,45.398,44,803.38,1.74,3,14.3,55.97,Happy Blackberry Windmill,999.9051938,10.72,3,Average,
120145,10.86,36.548,34,800.578,1.69,2,14.26,56.41,Happy Blackberry Windmill,1000.84081,10.99,4,Average,
121304,10.72,38.886,58,795.92,1.7,1,13.89,55.87,Happy Blackberry Windmill,1000.568678,10.35,2,Average,
121861,9.84,45.364,48,800.563,1.75,2,14.39,56.94,Happy Blackberry Windmill,1000.821599,9.38,2,Average,
122221,10.72,46.937,59,798.431,1.72,3,14.2,56.64,Happy Blackberry Windmill,1001.489905,10.73,2,Average,
124326,9.48,34.944,57,795.113,1.73,2,14.17,60.02,Happy Blackberry Windmill,999.5534694,9.13,2,Average,
124935,10.64,39.48,25,804.189,1.77,3,14.04,54.44,Happy Blackberry Windmill,1000.912476,11.15,3,Average,
125626,11.15,41.595,-7,796.817,1.83,5,14.94,54.20,Happy Blackberry Windmill,998.3544046,11.42,6,Low,
127919,12.31,21.812,32,797.985,1.89,5,14.5,53.61,Happy Blackberry Windmill,998.7067747,12.64,3,Low,
128855,9.7,56.105,18,802.341,1.7,5,14.04,58.43,Happy Blackberry Windmill,999.7158374,9.97,4,Average,
130380,10.13,47.791,47,801.468,1.69,2,14.11,56.69,Happy Blackberry Windmill,999.7340691,10.54,2,Average,
130718,8.68,41.364,58,790.977,1.79,3,14.48,58.75,Happy Blackberry Windmill,999.9329721,8.87,2,Average,
131371,10.35,35.63,35,803.583,1.77,5,14,57.56,Happy Blackberry Windmill,999.0534469,9.77,2,Average,
132239,10.64,40.199,58,800.85,1.66,5,14.46,54.78,Happy Blackberry Windmill,1001.18057,10.71,2,Low,
133406,10.21,40.787,51,803.762,1.79,5,14.39,56.58,Happy Blackberry Windmill,999.2770769,9.86,2,Low,
133642,10.72,41.112,42,802.111,1.77,4,14.24,57.73,Happy Blackberry Windmill,999.4291427,10.33,2,Average,
134816,10.21,49.792,25,801.42,1.78,5,14.26,55.39,Happy Blackberry Windmill,999.6743562,10.71,3,Low,
136558,10.79,39.383,27,802.927,1.7,1,14.11,55.62,Happy Blackberry Windmill,999.3407559,11.29,3,Average,
136558,10.79,39.383,27,802.927,1.7,1,14.11,55.62,Happy Blackberry Windmill,999.3407559,11.29,3,Average,
138516,11.44,30.383,58,800.712,1.82,3,14.04,55.27,Happy Blackberry Windmill,998.7916298,10.9,2,Average,
138605,10.13,35.612,41,802.878,1.76,4,14.15,57.10,Happy Blackberry Windmill,1001.492709,10.06,2,Average,
140008,9.48,61.061,50,800.771,1.76,4,14.13,57.70,Happy Blackberry Windmill,999.9721525,9.64,2,Average,
140433,11.08,44.336,17,801.097,1.77,1,14.3,56.48,Happy Blackberry Windmill,999.2711444,11.2,4,Average,
140591,9.77,27.146,23,801.46,1.9,2,14.24,56.28,Happy Blackberry Windmill,999.7239551,9.97,3,Average,
141467,9.55,38.931,41,797.627,1.69,1,14.66,58.87,Happy Blackberry Windmill,999.3683815,9.01,3,Low,
141765,9.92,40.375,59,801.6,1.66,4,14.15,59.43,Happy Blackberry Windmill,1001.006761,9.67,2,Average,
141815,9.99,34.052,36,803.37,1.72,4,14.13,57.57,Happy Blackberry Windmill,999.8931322,9.84,2,Average,
142565,10.28,35.62,49,802.633,1.72,5,14.74,57.91,Happy Blackberry Windmill,1000.079716,9.87,2,Low,
142674,9.84,43.384,32,807.413,1.68,3,14.33,56.43,Happy Blackberry Windmill,1001.605536,10.26,4,Average,
142729,9.92,50.152,51,801.356,1.71,1,14.15,57.81,Happy Blackberry Windmill,1000.701789,10.64,2,Average,
143108,9.19,44.489,48,804.107,1.81,4,14.22,60.39,Happy Blackberry Windmill,999.7054366,8.89,3,Average,
143173,12.1,31.174,37,804.771,1.79,5,14.44,53.26,Happy Blackberry Windmill,1001.63625,12.52,2,Low,
144203,10.64,42.23,57,786.157,1.68,1,14.17,55.68,Happy Blackberry Windmill,1000.576101,9.98,1,Average,
146171,10.57,41.616,29,800.302,1.67,3,14.26,55.68,Happy Blackberry Windmill,1000.495158,10.98,3,Average,
146745,8.24,47.141,58,801.925,1.7,4,14.06,62.29,Happy Blackberry Windmill,1000.304495,8.65,2,Average,
146971,9.99,48.555,36,799.305,1.74,4,14.17,58.28,Happy Blackberry Windmill,999.2490662,10.03,3,Average,
147328,10.72,37.066,41,801.677,1.81,1,14.17,56.77,Happy Blackberry Windmill,998.8892665,10.45,3,Average,
147537,10.86,40.595,34,800.11,1.8,1,14.17,57.62,Happy Blackberry Windmill,1001.366824,10.41,2,Average,
147842,9.7,44.511,23,800.833,1.71,1,14.3,56.96,Happy Blackberry Windmill,1000.049658,9.4,5,Average,
148074,9.33,52.311,48,797.482,1.68,3,14.22,59.06,Happy Blackberry Windmill,1001.414384,9.65,3,Average,
148363,11.66,36.036,56,793.333,1.71,4,14.17,53.53,Happy Blackberry Windmill,999.546941,11.36,2,Average,
